ticker,name,sector,exchange,currency,price_native,market_cap_native,trailing_pe,forward_pe,revenue_cagr_5y,debt_to_equity,net_debt_to_ebitda,dividend_yield_pct,beta,as_of,data_error
NVDA,NVIDIA Corporation,Semiconductors,NASDAQ,USD,206.64,5005027311616,31.69325,16.030497,1.0004509499443963,0.07018748450344262,0.016803641596103824,0.5,2.215,2026-08-03T21:55:03+00:00,
AMD,"Advanced Micro Devices, Inc.",Semiconductors,NASDAQ,USD,484.64,790254256128,161.54668,34.822247,0.13643599335368428,0.0610644613406562,,,2.489,2026-08-03T21:55:05+00:00,
TSM,Taiwan Semiconductor Manufacturing Company Limited,Semiconductors,NYSE,USD,406.11,2106278936576,35.74912,18.79435,0.18937972542772896,0.19880018794261936,,0.94,1.258,2026-08-03T21:55:07+00:00,
ASML.AS,ASML Holding N.V.,Semiconductors,Euronext Amsterdam,EUR,1419.6,545268334592,55.911777,27.78743,0.15551134263329014,0.22388615249691518,,0.54,1.365,2026-08-03T21:55:09+00:00,
AVGO,Broadcom Inc.,Semiconductors,NASDAQ,USD,392.23,1866065772544,65.480804,20.122656,0.24378426000041764,0.8012596565467697,1.410324364809587,0.67,1.473,2026-08-03T21:55:11+00:00,
MU,"Micron Technology, Inc.",Semiconductors,NASDAQ,USD,829.5,936831614976,18.733063,5.3322425,0.06713489726936261,0.28206406350964647,0.10231023102310231,0.06,2.213,2026-08-03T21:55:13+00:00,
ARM,Arm Holdings plc,Semiconductors,NASDAQ,USD,239.06,255315738624,243.93877,77.88594,0.2246090456460499,0.05515327057687666,,,3.909,2026-08-03T21:55:15+00:00,
QCOM,QUALCOMM Incorporated,Semiconductors,NASDAQ,USD,151.57,159148507136,17.322287,14.721167,0.0006330832838727929,0.6984344053569744,0.6223457699778954,2.49,1.663,2026-08-03T21:55:17+00:00,
LRCX,Lam Research Corporation,Semiconductors,NASDAQ,USD,294.61,368638984192,51.05892,25.5622,0.02285830538778799,0.45474328302482586,0.22084077092464074,0.35,1.865,2026-08-03T21:55:19+00:00,
BESI.AS,BE Semiconductor Industries N.V.,Semiconductors,Euronext Amsterdam,EUR,201.4,15948493824,76.87023,31.13329,-0.06475911990843208,1.2517813528915915,0.6299443924772375,0.8,1.336,2026-08-03T21:55:21+00:00,
VST,Vistra Corp.,Energy & Digital Infrastructure,NYSE,USD,155.94,52580233216,26.03339,15.096408,0.08917866741227787,3.9372179713556994,3.8146389713155293,0.62,1.433,2026-08-03T21:55:23+00:00,
CEG,Constellation Energy Corporation,Energy & Digital Infrastructure,NASDAQ,USD,273.71,97742389248,23.78019,20.538404,0.01469039149633189,0.6194117241854378,0.8979694579627454,0.65,1.118,2026-08-03T21:55:25+00:00,
NEE,"NextEra Energy, Inc.",Energy & Digital Infrastructure,NYSE,USD,86.55,180509147136,19.44944,19.583754,0.09364770128221722,1.751007178435394,5.784890606495044,2.87,0.653,2026-08-03T21:55:26+00:00,
EQIX,"Equinix, Inc.",Energy & Digital Infrastructure,NASDAQ,USD,1031.44,101773918208,66.58747,55.364464,0.08265773019010236,1.6053970048036168,4.190441355766886,2.02,0.972,2026-08-03T21:55:28+00:00,
DLR,"Digital Realty Trust, Inc.",Energy & Digital Infrastructure,NYSE,USD,191.22,71950155776,242.05063,65.193825,0.09218604990875767,0.8573515191250958,4.065076072900341,2.59,1.042,2026-08-03T21:55:30+00:00,
GEV,GE Vernova Inc.,Energy & Digital Infrastructure,NYSE,USD,1006.76,268134006784,28.88009,40.455963,0.08682326316822997,0.10484881016281983,,0.2,1.033,2026-08-03T21:55:32+00:00,
VRT,Vertiv Holdings Co,Energy & Digital Infrastructure,NYSE,USD,263.05,101271134208,59.513573,28.954351,0.2158543401649824,0.8189937330322482,0.5544322755780211,0.1,2.077,2026-08-03T21:55:34+00:00,
ETN,Eaton Corporation plc,Energy & Digital Infrastructure,NYSE,USD,438.23,170164715520,42.921646,27.509506,0.09769979247934413,0.5421879021879021,1.500728273183363,1.06,1.177,2026-08-03T21:55:36+00:00,
PWR,"Quanta Services, Inc.",Energy & Digital Infrastructure,NYSE,USD,680.2,102263578624,77.82609,36.665066,0.18595310976676038,0.7181444598377155,2.1689903068110787,0.07,1.219,2026-08-03T21:55:38+00:00,
IBE.MC,"Iberdrola, S.A.",Energy & Digital Infrastructure,BME Madrid,EUR,20.65,137800368128,25.8125,19.14217,-0.06515503823992697,1.1430654310138213,3.0404462208435246,3.29,0.559,2026-08-03T21:55:40+00:00,
MSFT,Microsoft Corporation,AI / Enterprise Software,NASDAQ,USD,487.65,3621067423744,27.182274,20.778694,0.1612397915820203,0.12845314170624364,0.09328784352276177,0.78,1.099,2026-08-03T21:55:42+00:00,
GOOGL,Alphabet Inc.,AI / Enterprise Software,NASDAQ,USD,373.51,4568003379200,18.731695,25.34947,0.12511745609215974,0.14277870757227312,0.08765453961859013,0.25,1.237,2026-08-03T21:55:44+00:00,
PLTR,Palantir Technologies Inc.,AI / Enterprise Software,NYSE,USD,125.65,301222264832,141.17978,59.991024,0.32917125287657845,0.031045035864408873,,,1.563,2026-08-03T21:55:46+00:00,
CRWD,"CrowdStrike Holdings, Inc.",AI / Enterprise Software,NASDAQ,USD,202.54,206238220288,,129.61232,0.2900686653697968,0.18518626408243177,,,1.234,2026-08-03T21:55:48+00:00,
SNOW,Snowflake Inc.,AI / Enterprise Software,NYSE,USD,307.53,106589896704,,113.94854,0.313765188615279,1.42461990060818,,,1.315,2026-08-03T21:55:50+00:00,
NOW,"ServiceNow, Inc.",AI / Enterprise Software,NYSE,USD,114.19,118056706048,71.36875,22.809763,0.22376517864742618,0.1853594569577291,0.005294506949040371,,0.93,2026-08-03T21:55:51+00:00,
ORCL,Oracle Corporation,AI / Enterprise Software,NYSE,USD,141.85,408594841600,24.331047,13.025533,0.10476732816565715,3.674343652959443,2.9375429784435076,1.54,1.718,2026-08-03T21:55:53+00:00,
ANET,"Arista Networks, Inc.",AI / Enterprise Software,NYSE,USD,184.89,232807825408,63.75517,41.385654,0.27146525721597636,0.003553938806030476,,,1.615,2026-08-03T21:55:55+00:00,
DELL,Dell Technologies Inc.,AI / Enterprise Software,NYSE,USD,429.02,277208006656,34.13047,19.634253,0.035349838884853435,-12.75425101214575,1.6853695578805266,0.62,1.401,2026-08-03T21:55:57+00:00,
SMCI,"Super Micro Computer, Inc.",AI / Enterprise Software,NASDAQ,USD,28.64,18526443520,15.073684,8.648414,0.6170781210288652,0.7583425596899119,0.379279954701079,,1.967,2026-08-03T21:55:59+00:00,
LMT,Lockheed Martin Corporation,Defence,NYSE,USD,586.29,135310303232,21.634315,17.922325,0.043838941337237536,3.228686207409612,2.0143233642718004,2.37,0.11,2026-08-03T21:56:01+00:00,
RTX,RTX Corporation,Defence,NYSE,USD,216.65,291991781376,38.142605,27.730879,0.09723101071987417,0.6055023373438577,2.0386056469958516,1.36,0.294,2026-08-03T21:56:03+00:00,
NOC,Northrop Grumman Corporation,Defence,NYSE,USD,548.47,77917298688,17.433884,18.060698,0.04654085181148626,1.0206908960057575,1.493268563497571,1.73,-0.108,2026-08-03T21:56:06+00:00,
