ticker,name,sector,exchange,currency,price_native,market_cap_native,trailing_pe,forward_pe,revenue_cagr_5y,debt_to_equity,net_debt_to_ebitda,dividend_yield_pct,beta,as_of,data_error
NVDA,NVIDIA Corporation,Semiconductors,NASDAQ,USD,223.96,5424535306240,34.244648,17.37413,1.0004509499443963,0.07018748450344262,0.016803641596103824,0.45,2.215,2026-08-09T10:29:33+00:00,
AMD,"Advanced Micro Devices, Inc.",Semiconductors,NASDAQ,USD,483.36,789073100800,123.306114,31.265461,0.13643599335368428,0.0610644613406562,,,2.489,2026-08-09T10:29:35+00:00,
TSM,Taiwan Semiconductor Manufacturing Company Limited,Semiconductors,NYSE,USD,420.04,2178526609408,36.91037,19.439016,0.18937972542772896,0.19880018794261936,,0.9,1.258,2026-08-09T10:29:37+00:00,
ASML.AS,ASML Holding N.V.,Semiconductors,Euronext Amsterdam,EUR,1499.0,575765872640,58.830456,29.149462,0.15551134263329014,0.22388615249691518,,0.52,1.365,2026-08-09T10:29:39+00:00,
AVGO,Broadcom Inc.,Semiconductors,NASDAQ,USD,427.76,2035102646272,71.41236,21.94546,0.24378426000041764,0.8012596565467697,1.410324364809587,0.61,1.473,2026-08-09T10:29:41+00:00,
MU,"Micron Technology, Inc.",Semiconductors,NASDAQ,USD,877.57,991121571840,19.841059,5.659457,0.06713489726936261,0.28206406350964647,0.10231023102310231,0.06,2.213,2026-08-09T10:29:43+00:00,
ARM,Arm Holdings plc,Semiconductors,NASDAQ,USD,282.57,301784367104,285.42426,92.064545,0.2246090456460499,0.05515327057687666,,,3.909,2026-08-09T10:29:45+00:00,
QCOM,QUALCOMM Incorporated,Semiconductors,NASDAQ,USD,167.86,176252993536,19.184,16.35283,0.0006330832838727929,0.6984344053569744,0.6223457699778954,2.19,1.663,2026-08-09T10:29:47+00:00,
LRCX,Lam Research Corporation,Semiconductors,NASDAQ,USD,311.35,389585403904,54.053818,27.01467,0.02285830538778799,0.45474328302482586,0.22084077092464074,0.33,1.865,2026-08-09T10:29:49+00:00,
BESI.AS,BE Semiconductor Industries N.V.,Semiconductors,Euronext Amsterdam,EUR,221.4,17527855104,84.82759,34.089806,-0.06475911990843208,1.2517813528915915,0.6299443924772375,0.71,1.336,2026-08-09T10:29:51+00:00,
