ticker,name,sector,exchange,currency,price_native,market_cap_native,trailing_pe,forward_pe,revenue_cagr_5y,debt_to_equity,net_debt_to_ebitda,dividend_yield_pct,beta,as_of,data_error
SMCI,"Super Micro Computer, Inc.",AI / Enterprise Software,NASDAQ,USD,32.84,21233606656,17.276316,9.912157,0.6170781210288652,0.7583425596899119,0.379279954701079,,1.967,2026-08-10T14:01:48+00:00,
LMT,Lockheed Martin Corporation,Defence,NYSE,USD,599.635,138339434496,22.118633,18.321455,0.043838941337237536,3.228686207409612,2.0143233642718004,2.35,0.11,2026-08-10T14:01:52+00:00,
RTX,RTX Corporation,Defence,NYSE,USD,225.5,303932932096,39.632687,28.7155,0.09723101071987417,0.6055023373438577,2.0386056469958516,1.31,0.294,2026-08-10T14:01:55+00:00,
NOC,Northrop Grumman Corporation,Defence,NYSE,USD,576.976,81966956544,18.351654,18.959934,0.04654085181148626,1.0206908960057575,1.493268563497571,1.64,-0.108,2026-08-10T14:02:00+00:00,
GD,General Dynamics Corporation,Defence,NYSE,USD,395.62,107037835264,24.13789,21.353863,0.10069361914442676,0.38205448442744516,0.8834966557785037,,0.328,2026-08-10T14:02:04+00:00,
LHX,"L3Harris Technologies, Inc.",Defence,NYSE,USD,288.852,53788463104,29.206469,21.517323,0.08619178709998354,0.5661319073083779,2.677058353317346,1.74,0.746,2026-08-10T14:02:06+00:00,
KTOS,"Kratos Defense & Security Solutions, Inc.",Defence,NASDAQ,USD,60.8,11401214976,357.64706,54.521324,0.14453014569545264,0.07303511496268096,1.423712342079689,,1.106,2026-08-10T14:02:10+00:00,
RHM.DE,Rheinmetall AG,Defence,Xetra,EUR,1142.8,53318160384,43.920063,21.330164,0.15727511347833945,0.25583715825184594,0.41662859753312015,1.0,0.44,2026-08-10T14:02:13+00:00,
BA.L,BAE Systems plc,Defence,London Stock Exchange,GBP,22.42,65695870976,32.028572,23.42444,0.10053885566377208,0.7680753564154786,0.9081680830972616,1.7,-0.052,2026-08-10T14:02:18+00:00,
LDO.MI,Leonardo S.p.a.,Defence,Borsa Italiana,EUR,58.38,33678598144,29.938461,20.578947,0.09850000170159401,0.46956066945606695,0.26769358867610327,,0.377,2026-08-10T14:02:21+00:00,
HII,"Huntington Ingalls Industries, Inc.",Defence,NYSE,USD,325.875,12840974336,19.42044,15.711543,0.05353361774943943,0.57618766016164,1.5904211395540875,1.7,0.241,2026-08-10T14:02:24+00:00,
PG,The Procter & Gamble Company,Consumer Goods,NYSE,USD,144.95,337530421248,21.895771,19.587255,0.020025694093399382,0.6476581424160056,0.9911116572458426,2.99,0.377,2026-08-10T14:02:26+00:00,
KO,The Coca-Cola Company,Consumer Goods,NYSE,USD,86.65,372815888384,26.021023,24.571941,0.03689014114187783,1.4141564860580063,1.8833279863116243,2.44,0.342,2026-08-10T14:02:29+00:00,
PEP,"PepsiCo, Inc.",Consumer Goods,NASDAQ,USD,137.815,188255289344,18.062254,15.349548,0.028259092561689236,2.4454082132706065,2.57498552403011,4.26,0.361,2026-08-10T14:02:32+00:00,
NKE,"NIKE, Inc.",Consumer Goods,NYSE,USD,41.225,61157232640,19.630953,17.949745,-0.032401823147472864,0.7422132526067945,0.08249891162385721,3.93,1.118,2026-08-10T14:02:35+00:00,
MDLZ,"Mondelez International, Inc.",Consumer Goods,NASDAQ,USD,61.7,79201189888,37.85276,18.36009,0.06956578215167708,0.8438733648115179,3.8382619191309595,,0.404,2026-08-10T14:02:39+00:00,
EL,The Estée Lauder Companies Inc.,Consumer Goods,NYSE,USD,86.415,31264507904,,27.167353,-0.06871717508347619,2.449417852522639,30.10958904109589,1.58,1.246,2026-08-10T14:02:41+00:00,
CL,Colgate-Palmolive Company,Consumer Goods,NYSE,USD,92.845,74013507584,36.55315,22.645012,0.042934601917500315,158.40740740740742,1.6936299292214358,2.27,0.327,2026-08-10T14:02:45+00:00,
MC.PA,"LVMH Moët Hennessy - Louis Vuitton, Société Européenne",Consumer Goods,Euronext Paris,EUR,480.3,236835553280,21.891521,18.777092,0.006790272105436479,0.5443887834953759,0.44680851063829785,,0.842,2026-08-10T14:02:48+00:00,
NESN.SW,Nestlé S.A.,Consumer Goods,SIX Swiss Exchange,CHF,80.28,206497808384,27.778545,16.662827,-0.017520480105449265,1.7632429137458092,,,0.499,2026-08-10T14:02:51+00:00,
OR.PA,L'Oréal S.A.,Consumer Goods,Euronext Paris,EUR,386.25,205639188480,32.816483,25.878843,0.04810457834032511,0.34091585319799045,0.023722695990424897,1.87,0.892,2026-08-10T14:02:53+00:00,
