ticker,name,sector,exchange,currency,price_native,market_cap_native,trailing_pe,forward_pe,revenue_cagr_5y,debt_to_equity,net_debt_to_ebitda,dividend_yield_pct,beta,as_of,data_error
NVDA,NVIDIA Corporation,Semiconductors,NASDAQ,USD,200.75,4862365925376,30.789877,15.573568,1.0004509499443963,0.07018748450344262,0.016803641596103824,0.5,2.211,2026-08-02T08:28:17+00:00,
AMD,"Advanced Micro Devices, Inc.",Semiconductors,NASDAQ,USD,476.15,776410431488,158.71666,34.45045,0.13643599335368428,0.0610644613406562,,,2.469,2026-08-02T08:28:19+00:00,
TSM,Taiwan Semiconductor Manufacturing Company Limited,Semiconductors,NYSE,USD,404.25,2096632168448,35.58539,18.708271,0.18937972542772896,0.19880018794261936,,0.94,1.246,2026-08-02T08:28:21+00:00,
ASML.AS,ASML Holding N.V.,Semiconductors,Euronext Amsterdam,EUR,1434.2,550876217344,56.486805,28.073212,0.15551134263329014,0.22388615249691518,,0.54,1.394,2026-08-02T08:28:23+00:00,
AVGO,Broadcom Inc.,Semiconductors,NASDAQ,USD,389.28,1852030844928,64.98832,19.971312,0.24378426000041764,0.8012596565467697,1.410324364809587,0.67,1.462,2026-08-02T08:28:25+00:00,
MU,"Micron Technology, Inc.",Semiconductors,NASDAQ,USD,823.03,929524482048,18.586948,5.3534055,0.06713489726936261,0.28206406350964647,0.10231023102310231,0.06,2.142,2026-08-02T08:28:27+00:00,
ARM,Arm Holdings plc,Semiconductors,NASDAQ,USD,239.69,255988580352,244.58163,78.0912,0.2246090456460499,0.05515327057687666,,,3.77,2026-08-02T08:28:29+00:00,
QCOM,QUALCOMM Incorporated,Semiconductors,NASDAQ,USD,147.61,154990493696,16.869715,14.336553,0.0006330832838727929,0.6984344053569744,0.6223457699778954,2.49,1.638,2026-08-02T08:28:31+00:00,
LRCX,Lam Research Corporation,Semiconductors,NASDAQ,USD,293.02,366649442304,50.78336,25.31486,0.02285830538778799,0.45474328302482586,0.22084077092464074,0.35,1.805,2026-08-02T08:28:33+00:00,
BESI.AS,BE Semiconductor Industries N.V.,Semiconductors,Euronext Amsterdam,EUR,198.25,15699051520,75.667946,30.646349,-0.06475911990843208,1.2517813528915915,0.6299443924772375,0.8,1.375,2026-08-02T08:28:35+00:00,
VST,Vistra Corp.,Energy & Digital Infrastructure,NYSE,USD,148.19,49967071232,24.739567,14.346137,0.08917866741227787,3.9372179713556994,3.8146389713155293,0.62,1.409,2026-08-02T08:28:37+00:00,
CEG,Constellation Energy Corporation,Energy & Digital Infrastructure,NASDAQ,USD,262.75,93828554752,22.827974,19.641615,0.01469039149633189,0.6194117241854378,0.8979694579627454,0.65,1.121,2026-08-02T08:28:39+00:00,
NEE,"NextEra Energy, Inc.",Energy & Digital Infrastructure,NYSE,USD,86.92,181280817152,19.532585,19.667473,0.09364770128221722,1.751007178435394,5.784890606495044,2.87,0.667,2026-08-02T08:28:41+00:00,
EQIX,"Equinix, Inc.",Energy & Digital Infrastructure,NASDAQ,USD,1019.28,100574085120,65.80246,54.711758,0.08265773019010236,1.6053970048036168,4.190441355766886,2.02,0.971,2026-08-02T08:28:43+00:00,
DLR,"Digital Realty Trust, Inc.",Energy & Digital Infrastructure,NYSE,USD,188.52,70934233088,238.6329,64.27329,0.09218604990875767,0.8573515191250958,4.065076072900341,2.59,1.053,2026-08-02T08:28:45+00:00,
GEV,GE Vernova Inc.,Energy & Digital Infrastructure,NYSE,USD,990.29,263747485696,28.407629,39.794125,0.08682326316822997,0.10484881016281983,,0.2,0.935,2026-08-02T08:28:47+00:00,
VRT,Vertiv Holdings Co,Energy & Digital Infrastructure,NYSE,USD,241.57,93001588736,54.653847,26.652472,0.2158543401649824,0.8189937330322482,0.5544322755780211,0.1,2.029,2026-08-02T08:28:49+00:00,
ETN,Eaton Corporation plc,Energy & Digital Infrastructure,NYSE,USD,415.2,161222164480,40.666016,26.23561,0.09769979247934413,0.5421879021879021,1.500728273183363,1.06,1.181,2026-08-02T08:28:51+00:00,
PWR,"Quanta Services, Inc.",Energy & Digital Infrastructure,NYSE,USD,667.36,100333166592,76.35698,36.543564,0.18595310976676038,0.7181444598377155,2.1689903068110787,0.07,1.215,2026-08-02T08:28:53+00:00,
IBE.MC,"Iberdrola, S.A.",Energy & Digital Infrastructure,BME Madrid,EUR,20.65,137800368128,25.8125,19.14217,-0.06515503823992697,1.1430654310138213,3.0404462208435246,3.29,0.568,2026-08-02T08:28:55+00:00,
MSFT,Microsoft Corporation,AI / Enterprise Software,NASDAQ,USD,464.72,3450799652864,25.904123,19.964653,0.1612397915820203,0.12845314170624364,0.09328784352276177,0.78,1.13,2026-08-02T08:28:57+00:00,
GOOGL,Alphabet Inc.,AI / Enterprise Software,NASDAQ,USD,356.13,4355446800384,17.86008,24.16992,0.12511745609215974,0.14277870757227312,0.08765453961859013,0.25,1.247,2026-08-02T08:28:59+00:00,
PLTR,Palantir Technologies Inc.,AI / Enterprise Software,NYSE,USD,123.06,295013220352,138.26967,58.754436,0.32917125287657845,0.031045035864408873,,,1.562,2026-08-02T08:29:01+00:00,
CRWD,"CrowdStrike Holdings, Inc.",AI / Enterprise Software,NASDAQ,USD,190.86,194344960000,,122.13789,0.2900686653697968,0.18518626408243177,,,1.237,2026-08-02T08:29:03+00:00,
SNOW,Snowflake Inc.,AI / Enterprise Software,NYSE,USD,293.28,101650849792,,108.66851,0.313765188615279,1.42461990060818,,,1.353,2026-08-02T08:29:05+00:00,
