ticker,name,sector,exchange,currency,price_native,market_cap_native,trailing_pe,forward_pe,revenue_cagr_5y,debt_to_equity,net_debt_to_ebitda,dividend_yield_pct,beta,as_of,data_error
PWR,"Quanta Services, Inc.",Energy & Digital Infrastructure,NYSE,USD,667.84,100405338112,78.10994,35.15077,0.18595310976676038,0.7181444598377155,2.1689903068110787,0.06,1.219,2026-08-07T08:17:43+00:00,
IBE.MC,"Iberdrola, S.A.",Energy & Digital Infrastructure,BME Madrid,EUR,20.54,137066340352,25.675001,19.040203,-0.06515503823992697,1.1430654310138213,3.0404462208435246,3.3,0.559,2026-08-07T08:17:44+00:00,
MSFT,Microsoft Corporation,AI / Enterprise Software,NASDAQ,USD,499.86,3711733071872,27.181076,21.298962,0.1612397915820203,0.12845314170624364,0.09328784352276177,0.75,1.099,2026-08-07T08:17:46+00:00,
GOOGL,Alphabet Inc.,AI / Enterprise Software,NASDAQ,USD,357.75,4375259381760,18.178354,24.279867,0.12511745609215974,0.14277870757227312,0.08765453961859013,0.24,1.237,2026-08-07T08:17:49+00:00,
PLTR,Palantir Technologies Inc.,AI / Enterprise Software,NYSE,USD,155.92,374684876800,135.58261,67.79838,0.32917125287657845,0.031045035864408873,,,1.563,2026-08-07T08:17:50+00:00,
CRWD,"CrowdStrike Holdings, Inc.",AI / Enterprise Software,NASDAQ,USD,207.39,211176783872,,132.71602,0.2900686653697968,0.18518626408243177,,,1.234,2026-08-07T08:17:52+00:00,
SNOW,Snowflake Inc.,AI / Enterprise Software,NYSE,USD,318.0,110218797056,,117.827965,0.313765188615279,1.42461990060818,,,1.315,2026-08-07T08:17:54+00:00,
NOW,"ServiceNow, Inc.",AI / Enterprise Software,NYSE,USD,117.35,121323708416,73.34375,23.44098,0.22376517864742618,0.1853594569577291,0.005294506949040371,,0.93,2026-08-07T08:17:55+00:00,
ORCL,Oracle Corporation,AI / Enterprise Software,NYSE,USD,143.47,413261168640,24.736206,13.174291,0.10476732816565715,3.674343652959443,2.9375429784435076,1.39,1.718,2026-08-07T08:17:56+00:00,
ANET,"Arista Networks, Inc.",AI / Enterprise Software,NYSE,USD,192.32,242558746624,62.441563,37.662174,0.27146525721597636,0.003553938806030476,,,1.615,2026-08-07T08:17:58+00:00,
DELL,Dell Technologies Inc.,AI / Enterprise Software,NYSE,USD,437.65,282784202752,36.90135,20.029207,0.035349838884853435,-12.75425101214575,1.6853695578805266,0.54,1.401,2026-08-07T08:18:00+00:00,
SMCI,"Super Micro Computer, Inc.",AI / Enterprise Software,NASDAQ,USD,29.38,19005128704,15.967391,8.871871,0.6170781210288652,0.7583425596899119,0.379279954701079,,1.967,2026-08-07T08:18:01+00:00,
LMT,Lockheed Martin Corporation,Defence,NYSE,USD,582.85,134516383744,21.279663,17.817167,0.043838941337237536,3.228686207409612,2.0143233642718004,2.39,0.11,2026-08-07T08:18:03+00:00,
RTX,RTX Corporation,Defence,NYSE,USD,223.25,300886982656,39.2355,28.427721,0.09723101071987417,0.6055023373438577,2.0386056469958516,1.31,0.294,2026-08-07T08:18:05+00:00,
NOC,Northrop Grumman Corporation,Defence,NYSE,USD,567.74,80654860288,17.730793,18.656431,0.04654085181148626,1.0206908960057575,1.493268563497571,1.69,-0.108,2026-08-07T08:18:07+00:00,
GD,General Dynamics Corporation,Defence,NYSE,USD,386.92,104683986944,23.421309,20.912493,0.10069361914442676,0.38205448442744516,0.8834966557785037,1.66,0.328,2026-08-07T08:18:09+00:00,
LHX,"L3Harris Technologies, Inc.",Defence,NYSE,USD,289.53,53914718208,28.895208,21.56783,0.08619178709998354,0.5661319073083779,2.677058353317346,1.75,0.746,2026-08-07T08:18:11+00:00,
KTOS,"Kratos Defense & Security Solutions, Inc.",Defence,NASDAQ,USD,57.41,10765521920,318.94443,51.37866,0.14453014569545264,0.07303511496268096,1.423712342079689,,1.106,2026-08-07T08:18:13+00:00,
RHM.DE,Rheinmetall AG,Defence,Xetra,EUR,1201.2,56042848256,52.939617,22.358309,0.15727511347833945,0.25583715825184594,0.41662859753312015,0.96,0.44,2026-08-07T08:18:14+00:00,
BA.L,BAE Systems plc,Defence,London Stock Exchange,GBP,22.33502,65472135168,31.907171,23.335651,0.10053885566377208,0.7680753564154786,0.9081680830972616,1.75,-0.052,2026-08-07T08:18:16+00:00,
LDO.MI,Leonardo S.p.a.,Defence,Borsa Italiana,EUR,59.65,34411245568,30.589745,21.026028,0.09850000170159401,0.46956066945606695,0.26769358867610327,1.1,0.377,2026-08-07T08:18:18+00:00,
HII,"Huntington Ingalls Industries, Inc.",Defence,NYSE,USD,321.76,12678824960,18.9382,15.513145,0.05353361774943943,0.57618766016164,1.5904211395540875,1.74,0.241,2026-08-07T08:18:20+00:00,
PG,The Procter & Gamble Company,Consumer Goods,NYSE,USD,146.97,342234202112,22.167421,19.834597,0.020025694093399382,0.6476581424160056,0.9911116572458426,2.97,0.377,2026-08-07T08:18:21+00:00,
KO,The Coca-Cola Company,Consumer Goods,NYSE,USD,86.85,373676376064,26.002995,24.628654,0.03689014114187783,1.4141564860580063,1.8833279863116243,2.44,0.342,2026-08-07T08:18:23+00:00,
PEP,"PepsiCo, Inc.",Consumer Goods,NASDAQ,USD,138.44,189109043200,18.191853,15.41916,0.028259092561689236,2.4454082132706065,2.57498552403011,4.27,0.361,2026-08-07T08:18:25+00:00,
NKE,"NIKE, Inc.",Consumer Goods,NYSE,USD,42.0,62306947072,20.192308,18.287188,-0.032401823147472864,0.7422132526067945,0.08249891162385721,3.86,1.118,2026-08-07T08:18:27+00:00,
MDLZ,"Mondelez International, Inc.",Consumer Goods,NASDAQ,USD,62.75,80549027840,38.262196,18.672539,0.06956578215167708,0.8438733648115179,3.8382619191309595,3.19,0.404,2026-08-07T08:18:29+00:00,
EL,The Estée Lauder Companies Inc.,Consumer Goods,NYSE,USD,85.49,30929846272,,26.780735,-0.06871717508347619,2.449417852522639,30.10958904109589,1.61,1.246,2026-08-07T08:18:30+00:00,
CL,Colgate-Palmolive Company,Consumer Goods,NYSE,USD,93.0,74137067520,36.758892,22.682817,0.042934601917500315,158.40740740740742,1.6936299292214358,2.27,0.327,2026-08-07T08:18:32+00:00,
MC.PA,"LVMH Moët Hennessy - Louis Vuitton, Société Européenne",Consumer Goods,Euronext Paris,EUR,482.45,237895729152,22.00958,18.861145,0.006790272105436479,0.5443887834953759,0.44680851063829785,2.71,0.842,2026-08-07T08:18:34+00:00,
NESN.SW,Nestlé S.A.,Consumer Goods,SIX Swiss Exchange,CHF,81.15,208735649792,28.177082,16.961765,-0.017520480105449265,1.7632429137458092,,3.81,0.499,2026-08-07T08:18:36+00:00,
OR.PA,L'Oréal S.A.,Consumer Goods,Euronext Paris,EUR,392.65,209046536192,34.38266,26.307644,0.04810457834032511,0.34091585319799045,0.023722695990424897,1.85,0.892,2026-08-07T08:18:38+00:00,
