ticker,name,sector,exchange,currency,price_native,market_cap_native,trailing_pe,forward_pe,revenue_cagr_5y,debt_to_equity,net_debt_to_ebitda,dividend_yield_pct,beta,as_of,data_error
NVDA,NVIDIA Corporation,Semiconductors,NASDAQ,USD,218.99,5304156684288,33.535988,16.988571,1.0004509499443963,0.07018748450344262,0.016803641596103824,0.46,2.215,2026-08-07T08:17:13+00:00,
AMD,"Advanced Micro Devices, Inc.",Semiconductors,NASDAQ,USD,489.28,798737367040,123.55556,35.15564,0.13643599335368428,0.0610644613406562,,,2.489,2026-08-07T08:17:15+00:00,
TSM,Taiwan Semiconductor Manufacturing Company Limited,Semiconductors,NYSE,USD,418.2,2168983519232,36.49215,19.353863,0.18937972542772896,0.19880018794261936,,0.91,1.258,2026-08-07T08:17:16+00:00,
ASML.AS,ASML Holding N.V.,Semiconductors,Euronext Amsterdam,EUR,1498.6,575612256256,59.093056,29.141682,0.15551134263329014,0.22388615249691518,,0.53,1.365,2026-08-07T08:17:18+00:00,
AVGO,Broadcom Inc.,Semiconductors,NASDAQ,USD,420.565,2000871751680,69.40017,21.576332,0.24378426000041764,0.8012596565467697,1.410324364809587,0.62,1.473,2026-08-07T08:17:19+00:00,
MU,"Micron Technology, Inc.",Semiconductors,NASDAQ,USD,881.47,995526180864,19.93825,5.6663194,0.06713489726936261,0.28206406350964647,0.10231023102310231,0.06,2.213,2026-08-07T08:17:21+00:00,
ARM,Arm Holdings plc,Semiconductors,NASDAQ,USD,286.68,306173837312,278.3301,93.403625,0.2246090456460499,0.05515327057687666,,,3.909,2026-08-07T08:17:23+00:00,
QCOM,QUALCOMM Incorporated,Semiconductors,NASDAQ,USD,160.39,168409497600,18.021349,15.576456,0.0006330832838727929,0.6984344053569744,0.6223457699778954,2.34,1.663,2026-08-07T08:17:24+00:00,
LRCX,Lam Research Corporation,Semiconductors,NASDAQ,USD,305.77,382603231232,53.456295,26.530512,0.02285830538778799,0.45474328302482586,0.22084077092464074,0.34,1.865,2026-08-07T08:17:26+00:00,
BESI.AS,BE Semiconductor Industries N.V.,Semiconductors,Euronext Amsterdam,EUR,217.3,17206136832,82.62357,33.458515,-0.06475911990843208,1.2517813528915915,0.6299443924772375,0.73,1.336,2026-08-07T08:17:28+00:00,
VST,Vistra Corp.,Energy & Digital Infrastructure,NYSE,USD,141.38,47670857728,23.524126,13.67363,0.08917866741227787,3.9372179713556994,3.8146389713155293,0.65,1.433,2026-08-07T08:17:29+00:00,
CEG,Constellation Energy Corporation,Energy & Digital Infrastructure,NASDAQ,USD,261.1,93239336960,23.045013,19.622343,0.01469039149633189,0.6194117241854378,0.8979694579627454,0.64,1.118,2026-08-07T08:17:31+00:00,
NEE,"NextEra Energy, Inc.",Energy & Digital Infrastructure,NYSE,USD,84.6,176442212352,19.315067,19.148155,0.09364770128221722,1.751007178435394,5.784890606495044,2.9,0.653,2026-08-07T08:17:33+00:00,
EQIX,"Equinix, Inc.",Energy & Digital Infrastructure,NASDAQ,USD,1052.86,103887470592,68.01421,56.5229,0.08265773019010236,1.6053970048036168,4.190441355766886,1.95,0.972,2026-08-07T08:17:34+00:00,
DLR,"Digital Realty Trust, Inc.",Energy & Digital Infrastructure,NYSE,USD,192.56,72465948672,243.74683,65.65067,0.09218604990875767,0.8573515191250958,4.065076072900341,2.5,1.042,2026-08-07T08:17:36+00:00,
GEV,GE Vernova Inc.,Energy & Digital Infrastructure,NYSE,USD,1000.3,266413473792,29.154764,40.196373,0.08682326316822997,0.10484881016281983,,0.2,1.033,2026-08-07T08:17:37+00:00,
VRT,Vertiv Holdings Co,Energy & Digital Infrastructure,NYSE,USD,275.17,105937199104,62.824203,30.24724,0.2158543401649824,0.8189937330322482,0.5544322755780211,0.09,2.077,2026-08-07T08:17:39+00:00,
ETN,Eaton Corporation plc,Energy & Digital Infrastructure,NYSE,USD,448.19,174032175104,45.455376,27.973623,0.09769979247934413,0.5421879021879021,1.500728273183363,0.98,1.177,2026-08-07T08:17:41+00:00,
